F,R,I
1300000000,-0.778460474,-0.444263951
1310000000,-0.886689716,0.038760686
1320000000,-0.722027265,0.503992611
1330000000,-0.338304603,0.808268467
1340000000,0.144063021,0.864701992
1350000000,0.580270023,0.66305889
1360000000,0.846044254,0.267606052
1370000000,0.869912131,-0.206410062
1380000000,0.646967986,-0.624394307
1390000000,0.239140717,-0.86829631
1400000000,-0.239644112,-0.866646572
1410000000,-0.650588424,-0.613542667
1420000000,-0.869520038,-0.177550127
1430000000,-0.824247166,0.312206733
1440000000,-0.522854235,0.703339164
1450000000,-0.05832674,0.870599531
1460000000,0.419545108,0.767886583
1470000000,0.765456821,0.432108907
1480000000,0.88205802,-0.033590658
1490000000,0.743916605,-0.485344453
1500000000,0.394620031,-0.799946714
1510000000,-0.067673436,-0.891824935
1520000000,-0.514999271,-0.731068121
1530000000,-0.81674195,-0.35562334
1540000000,-0.875568176,0.128276388
1550000000,-0.665699226,0.571717253
1560000000,-0.250633399,0.833582673
1570000000,0.237178171,0.833673868
1580000000,0.646167444,0.577803417
1590000000,0.858005681,0.149454854
1600000000,0.817128161,-0.322555349
1610000000,0.537952131,-0.703591371
1620000000,0.101202529,-0.885933322
1630000000,-0.367899044,-0.814593461
1640000000,-0.732712858,-0.507090869
1650000000,-0.883581328,-0.052753116
1660000000,-0.772404692,0.414141204
1670000000,-0.432187581,0.753411057
1680000000,0.035236376,0.862208024
1690000000,0.490497711,0.707967652
1700000000,0.795000753,0.340109355
1710000000,0.8562847,-0.134391559
1720000000,0.667583121,-0.569861676
1730000000,0.275825611,-0.838652009
1740000000,-0.197245246,-0.863127713
1750000000,-0.611765952,-0.638308444
1760000000,-0.848771672,-0.23160508
1770000000,-0.840848076,0.239387187
1780000000,-0.58749813,0.638928428
1790000000,-0.159786384,0.848461026
1800000000,0.316603027,0.80052416
1810000000,0.696060906,0.505402883
1820000000,0.860960855,0.055009392
1830000000,0.761760113,-0.411559279
1840000000,0.434512687,-0.754011033
1850000000,-0.019409079,-0.874122695
1860000000,-0.468330135,-0.741531874
1870000000,-0.784011735,-0.396235756
1880000000,-0.874488198,0.064671557
1890000000,-0.71001063,0.507770255
1900000000,-0.3353442,0.799336514
1910000000,0.13788604,0.848876739
1920000000,0.565283303,0.641659416
1930000000,0.816344713,0.241851378
1940000000,0.823913723,-0.2309343
1950000000,0.583135021,-0.63229786
1960000000,0.163138758,-0.85302413
1970000000,-0.307282363,-0.819664534
1980000000,-0.689350832,-0.54296692
1990000000,-0.870022392,-0.10895809
2000000000,-0.796797989,0.353097915
2010000000,-0.494522097,0.708873413
2020000000,-0.052669705,0.855257888
2030000000,0.401819314,0.750131465
2040000000,0.736432645,0.422675911
2050000000,0.849660368,-0.034956427
2060000000,0.703690089,-0.486275604
2070000000,0.339360409,-0.791858922
2080000000,-0.131272327,-0.856950613
2090000000,-0.56272197,-0.664234994
2100000000,-0.825461104,-0.276735896
2110000000,-0.847451244,0.187168835
2120000000,-0.628104988,0.592163845
2130000000,-0.231922198,0.825055646
2140000000,0.228400218,0.821132434
2150000000,0.621618356,0.576979125
2160000000,0.832678775,0.159361857
2170000000,0.791761944,-0.309657735
2180000000,0.503235356,-0.688851647
2190000000,0.058848816,-0.857447751
2200000000,-0.405244953,-0.759861465
2210000000,-0.746025455,-0.435981503
2220000000,-0.86357842,0.012516359
2230000000,-0.732310814,0.454323183
2240000000,-0.393740886,0.762887734
2250000000,0.055599236,0.851688841
2260000000,0.487148369,0.69491328
2270000000,0.77507738,0.334826414
2280000000,0.832874116,-0.125484944
2290000000,0.639771033,-0.549612897
2300000000,0.250037009,-0.809299855
2310000000,-0.219594377,-0.82443542
2320000000,-0.625430707,-0.58803165
2330000000,-0.844035539,-0.173794269
2340000000,-0.811743889,0.289238139
2350000000,-0.54364627,0.662785107
2360000000,-0.125816955,0.841966085
2370000000,0.321159216,0.780134552
2380000000,0.674363569,0.498317761
2390000000,0.833297485,0.072828326
2400000000,0.745764085,-0.38078535
2410000000,0.428701243,-0.725084256
2420000000,-0.029225155,-0.846425297
2430000000,-0.482570977,-0.702231627
2440000000,-0.783716788,-0.339667207
2450000000,-0.845016218,0.1219298
2460000000,-0.659303161,0.539129232
2470000000,-0.290009901,0.796113123
2480000000,0.154345174,0.829124583
2490000000,0.552781217,0.631423583
2500000000,0.796547157,0.255205261
2510000000,0.811516169,-0.19822235
2520000000,0.583164566,-0.598772377
2530000000,0.171370595,-0.820946146
2540000000,-0.299018597,-0.786905217
2550000000,-0.678226834,-0.504242099
2560000000,-0.844718757,-0.065454184
2570000000,-0.752912729,0.3884009
2580000000,-0.442084083,0.721154571
2590000000,-0.011075822,0.842371525
2600000000,0.41767848,0.727763886
2610000000,0.727635186,0.412629611
2620000000,0.833822491,-0.02079499
2630000000,0.700905245,-0.452859006
2640000000,0.355109716,-0.754735183
2650000000,-0.105189208,-0.829694356
2660000000,-0.536061688,-0.644574117
2670000000,-0.800281242,-0.255961218
2680000000,-0.815825831,0.209403819
2690000000,-0.584196942,0.606811374
2700000000,-0.18487786,0.820998801
2710000000,0.261134697,0.797691021
2720000000,0.629093959,0.550756937
2730000000,0.819090918,0.151762488
2740000000,0.77762504,-0.291047746
2750000000,0.510850994,-0.653534641
2760000000,0.087062314,-0.825447477
2770000000,-0.370594318,-0.745337392
2780000000,-0.716588737,-0.429085367
2790000000,-0.837240498,0.024636646
2800000000,-0.69654245,0.467660681
2810000000,-0.347133399,0.76314232
2820000000,0.096839001,0.831182543
2830000000,0.505482346,0.663455039
2840000000,0.769923339,0.31346672
2850000000,0.819659422,-0.121901998
2860000000,0.637794845,-0.525793637
2870000000,0.267661863,-0.781610218
2880000000,-0.189948361,-0.804295858
2890000000,-0.595173896,-0.575964236
2900000000,-0.814127594,-0.162364058
2910000000,-0.774740083,0.3027165
2920000000,-0.495739695,0.669357041
2930000000,-0.072978805,0.828963881
2940000000,0.362844325,0.747494555
2950000000,0.6900331,0.458779983
2960000000,0.824745296,0.04609286
2970000000,0.731653082,-0.379068759
2980000000,0.429735262,-0.700413614
2990000000,-0.002740516,-0.821235141
3000000000,-0.440565121,-0.692490061
3010000000,-0.746219687,-0.344493481
3020000000,-0.81608827,0.113708075
3030000000,-0.628312284,0.534605938
3040000000,-0.251995032,0.788170279
3050000000,0.192184378,0.804692957
3060000000,0.57579499,0.594158409
3070000000,0.795504075,0.222782875
3080000000,0.796450723,-0.208734288
3090000000,0.577126016,-0.583833252
3100000000,0.189728254,-0.795745239
3110000000,-0.259673343,-0.773565109
3120000000,-0.634663175,-0.511820453
3130000000,-0.811754609,-0.084654139
3140000000,-0.730373287,0.370905965
3150000000,-0.418811792,0.707468831
3160000000,0.018114718,0.825245969
3170000000,0.443158137,0.698258338
3180000000,0.736781712,0.374162318
3190000000,0.822605864,-0.049180926
3200000000,0.68041467,-0.456426113
3210000000,0.349105356,-0.73724515
3220000000,-0.085515627,-0.807019066
3230000000,-0.501987246,-0.636529467
3240000000,-0.767720514,-0.265046487
3250000000,-0.790897901,0.197867896
3260000000,-0.560805846,0.598484561
3270000000,-0.154940471,0.808180833
3280000000,0.290805958,0.772225664
3290000000,0.643442737,0.515807851
3300000000,0.813335375,0.123038296
3310000000,0.763771047,-0.297929007
3320000000,0.508543602,-0.638464789
3330000000,0.109354429,-0.80575579
3340000000,-0.328485716,-0.741225238
3350000000,-0.674394519,-0.446715846
3360000000,-0.809629393,-0.004910222
3370000000,-0.67980681,0.441485346
3380000000,-0.330315967,0.744292956
3390000000,0.118803921,0.808835427
3400000000,0.526293253,0.629310161
3410000000,0.77551836,0.272692703
3420000000,0.805969614,-0.155796922
3430000000,0.616814036,-0.538245304
3440000000,0.258056656,-0.771798603
3450000000,-0.176219884,-0.790116829
3460000000,-0.561089435,-0.578070437
3470000000,-0.779668867,-0.185424505
3480000000,-0.759516711,0.267406891
3490000000,-0.493936887,0.638226491
3500000000,-0.071821287,0.809638234
3510000000,0.368549356,0.729033062
3520000000,0.69424929,0.433913337
3530000000,0.818605744,0.021480326
3540000000,0.716291851,-0.390924416
3550000000,0.421272366,-0.694204679
3560000000,0.012194617,-0.806417427
3570000000,-0.40297821,-0.692125776
3580000000,-0.704498014,-0.374979277
3590000000,-0.794520069,0.062694984
3600000000,-0.634420742,0.488492126
3610000000,-0.265574724,0.760606878
3620000000,0.192224251,0.78819312
3630000000,0.585713224,0.567121792
3640000000,0.795903089,0.178445727
